Trajectories
100
,,Group 3 S:LFHD,,,Group 3 S:RFHD,,,Group 3 S:LBHD,,,Group 3 S:RBHD,,,Group 3 S:C7,,,Group 3 S:T10,,,Group 3 S:CLAV,,,Group 3 S:STRN,,,Group 3 S:RBAK,,,Group 3 S:LSHO,,,Group 3 S:LUPA,,,Group 3 S:LELB,,,Group 3 S:LFRM,,,Group 3 S:LWRA,,,Group 3 S:LWRB,,,Group 3 S:LFIN,,,Group 3 S:RSHO,,,Group 3 S:RUPA,,,Group 3 S:RELB,,,Group 3 S:RFRM,,,Group 3 S:RWRA,,,Group 3 S:RWRB,,,Group 3 S:RFIN,,,Group 3 S:LASI,,,Group 3 S:RASI,,,Group 3 S:LPSI,,,Group 3 S:RPSI,,,Group 3 S:LTHI,,,Group 3 S:LKNE,,,Group 3 S:LTIB,,,Group 3 S:LANK,,,Group 3 S:LHEE,,,Group 3 S:LTOE,,,Group 3 S:RTHI,,,Group 3 S:RKNE,,,Group 3 S:RTIB,,,Group 3 S:RANK,,,Group 3 S:RHEE,,,Group 3 S:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
209,0,198.590469,185.899658,1573.071411,214.830948,320.277100,1552.069092,370.898621,183.987946,1490.304443,379.355927,274.810730,1486.624146,364.306549,235.926422,1365.772339,394.728271,229.389282,1151.940186,212.020508,230.188965,1323.040527,105.998764,232.066528,1165.120117,393.099152,310.173370,1287.836060,258.019867,65.796555,1354.454834,272.734528,-8.034581,1208.245972,267.583038,-11.054667,1038.056274,152.310806,4.355344,913.850647,133.066467,39.304005,838.032104,147.132492,-20.283796,828.138916,89.086777,20.372805,757.924316,270.517426,394.238892,1344.908203,304.525940,478.411743,1120.436157,282.249756,492.846039,1046.972778,171.246674,481.879791,933.976746,141.543930,462.243774,843.640930,158.951950,526.768311,840.745117,93.986717,487.308563,755.672607,164.830017,131.305283,919.063416,168.658646,373.865509,912.388794,385.686646,176.710083,999.415039,389.218475,295.124329,1003.572937,263.869263,46.806755,717.141846,310.751007,105.487709,442.983978,317.189880,78.970299,295.423340,320.079132,87.263405,77.200928,377.483948,125.892448,32.322121,164.491943,103.928574,38.745834,263.166290,460.253906,663.403076,297.144073,424.112274,457.117767,325.111328,439.306702,318.114685,337.858459,431.411255,71.759178,380.653473,389.323517,30.980066,169.323318,439.493103,36.409252
210,0,198.318039,185.877716,1573.156494,214.654938,320.332947,1552.079224,370.708252,184.006058,1490.329468,379.152985,274.791626,1486.626709,364.071869,235.959808,1365.817261,394.537567,229.320435,1151.950928,211.798492,230.334290,1323.061890,105.811531,232.158646,1165.202393,392.911743,310.222473,1287.876465,257.679474,65.834969,1354.635864,272.241150,-7.964292,1208.330444,267.052826,-11.018941,1038.036743,151.430222,4.817704,914.109375,131.850998,40.543633,838.837280,146.112122,-19.816395,828.374084,88.422119,21.265793,758.498291,270.319763,394.379120,1344.978394,304.480438,478.461792,1120.436279,282.255371,492.845795,1046.891235,171.208847,481.746521,933.985962,141.473953,461.875214,843.846985,159.019791,526.396057,840.647705,93.921501,487.165375,755.724976,164.622986,131.280121,918.929749,168.617737,373.722565,912.205017,385.516632,176.582657,999.488586,389.100891,295.103882,1003.567444,263.814240,46.787731,717.095093,311.404755,105.025017,442.696869,317.114227,78.802902,295.355499,320.727417,87.919250,77.842903,377.462067,125.900253,32.318020,164.492813,103.984901,38.715496,263.171509,460.332672,663.411255,297.152039,424.143799,457.090637,325.096405,439.568390,318.362244,337.801208,431.287170,71.667038,380.665100,389.336823,31.006927,169.320587,439.475983,36.429306
211,0,198.054031,186.119720,1573.136108,214.447357,320.540924,1552.171875,370.497772,184.077271,1490.345093,378.970673,274.865479,1486.674438,363.883728,236.022491,1365.880737,394.323456,229.285751,1151.961304,211.566177,230.427032,1323.119873,105.607353,232.231293,1165.176758,392.685944,310.287201,1287.923584,257.462036,65.970070,1354.573120,271.801880,-7.953199,1208.442627,266.280487,-10.448101,1038.154541,150.761932,5.276108,914.344299,131.381104,40.644627,838.982239,145.271851,-19.513975,828.617615,87.438011,22.024820,758.882446,270.136688,394.489441,1344.961304,304.464844,478.420227,1120.409058,282.251801,492.845581,1046.846558,171.240540,481.633087,933.861877,141.572708,461.539673,844.041382,159.218979,526.342957,840.590881,94.013054,487.033295,755.635254,164.495102,131.283386,918.901978,168.547424,373.866333,912.141296,385.349396,176.655121,999.490051,388.989868,295.069794,1003.594971,263.893585,46.856644,717.227295,311.414581,105.030663,442.662628,317.318604,79.033928,295.445435,320.760223,87.924965,77.809143,377.449432,125.888336,32.312954,164.581024,103.918083,38.749268,263.176392,460.322998,663.397827,296.977142,424.270996,457.121979,325.105927,439.299652,318.133179,337.895966,431.360168,71.778870,380.656738,389.306641,31.025902,169.338913,439.457306,36.430721
212,0,197.834671,186.103394,1573.152222,214.250656,320.584534,1552.119751,370.247772,184.106567,1490.405396,378.739319,274.891602,1486.655029,363.596649,236.049896,1365.906494,394.134460,229.251968,1152.123047,211.366043,230.463058,1323.178101,105.444931,232.331696,1165.199707,392.503693,310.314178,1288.012207,257.209198,66.097183,1354.606201,271.396301,-7.888928,1208.526245,265.704346,-10.418089,1038.257446,150.154404,5.596210,914.556702,130.787216,41.082150,839.244385,144.479843,-19.203806,828.800842,86.327446,22.168713,759.171753,269.977722,394.528687,1344.878540,304.472687,478.405762,1120.392944,282.321625,492.813751,1046.811279,171.487946,481.684418,933.749634,141.804062,461.953918,843.630981,159.568253,526.300476,840.441162,94.265182,487.065521,755.537231,164.516861,131.373672,918.979187,168.401398,374.127655,912.092651,385.214203,176.507370,999.550903,388.899780,295.026306,1003.666626,263.782532,46.948673,717.291443,311.457245,105.105301,442.643799,317.323212,78.999542,295.442535,320.812622,87.912781,77.859612,377.463654,125.954475,32.354218,164.594482,104.015190,38.727840,263.134064,460.322266,663.406921,297.108765,424.154236,457.116669,325.123993,439.267578,318.118103,337.797455,431.262115,71.651619,380.634949,389.294617,30.990028,169.612167,439.904266,36.781864
213,0,197.274704,186.306061,1573.193359,214.131699,320.666626,1552.108765,370.056946,184.134628,1490.392090,378.511749,274.951324,1486.677368,363.316986,236.147461,1366.003540,394.022522,229.326981,1152.123779,211.124603,230.496399,1323.205078,105.231979,232.380371,1165.211548,392.367828,310.283844,1288.051270,256.788727,66.374214,1354.336060,270.914398,-7.056146,1208.303345,265.288208,-10.377512,1038.373169,149.692108,5.773397,914.726807,130.403427,40.947887,839.217896,143.834503,-18.909962,829.037476,85.669159,22.520609,759.385254,269.848938,394.631195,1344.953125,304.529053,478.384247,1120.361328,282.411652,492.768768,1046.741821,171.668167,481.638794,933.537292,142.166824,461.985474,843.431152,159.968338,526.320435,840.251465,94.752678,486.989899,755.215820,164.366730,131.490036,918.818787,168.448380,373.884277,912.160950,385.082092,176.471832,999.560608,388.793091,294.998260,1003.691406,263.706604,47.075191,717.277283,311.503967,105.112236,442.642944,317.367401,79.071625,295.439728,320.733246,87.759254,77.806900,377.453156,125.890671,32.339298,164.581223,103.928131,38.746521,263.120361,460.337982,663.402588,296.998199,423.991119,457.229797,325.074127,439.250671,318.117065,337.795654,431.255646,71.645912,380.656921,389.271301,31.040968,169.583344,439.916138,36.688602
214,0,197.099228,186.452850,1573.240234,213.850876,320.823700,1552.140015,369.780396,184.210495,1490.413330,378.295044,275.025635,1486.695190,363.117340,236.136246,1366.038818,393.855408,229.258347,1152.250977,210.903030,230.627686,1323.203003,105.073891,232.454742,1165.286133,392.185242,310.291168,1288.171021,256.439636,66.261185,1354.709106,270.666565,-7.710811,1208.741699,264.647858,-9.761725,1038.423584,149.275192,5.857037,914.883057,129.970078,41.461483,839.503662,143.409744,-18.856178,829.141724,85.254623,22.709372,759.555359,269.667023,394.706421,1344.893555,304.572601,478.329010,1120.339966,282.567108,492.767120,1046.703735,171.973923,481.596924,933.367126,142.602676,461.682037,843.598694,160.494095,526.195374,839.936768,95.396118,486.970306,754.888672,164.220673,131.519836,918.749695,168.335037,374.029755,911.988403,384.959290,176.510864,999.622620,388.694122,295.036469,1003.752808,263.575378,47.223698,717.267517,311.177856,105.357040,442.927734,317.461365,79.040443,295.498993,320.380646,87.637535,77.397156,377.449677,125.915108,32.324512,164.587189,103.935837,38.726933,263.092621,460.368713,663.379028,296.825073,424.259766,457.060303,325.023315,439.243835,318.078827,337.777588,431.229034,71.708427,380.637054,389.299805,30.989685,169.322784,439.479004,36.427540
215,0,196.820206,186.452347,1573.156738,213.720413,320.958801,1552.163574,369.507355,184.259491,1490.439331,378.074646,275.049011,1486.678833,362.905304,236.167175,1366.102661,393.733185,229.293823,1152.309692,210.692413,230.665939,1323.196167,104.851753,232.506119,1165.244507,392.024170,310.289520,1288.317139,256.122894,66.456329,1354.676147,270.183105,-6.793993,1208.453613,264.532104,-10.413104,1038.624146,148.985580,5.906948,914.929199,129.709213,41.402424,839.580566,143.009277,-18.873890,829.287659,85.084183,22.708786,759.616394,269.489746,394.795349,1344.876831,304.662689,478.273621,1120.351563,282.744263,492.724152,1046.669556,172.396896,481.698486,933.145447,143.176712,461.453033,843.157959,161.148346,526.217224,839.532654,96.261482,487.107574,754.292175,164.189545,131.632614,918.855103,168.281204,374.115021,911.858459,384.840790,176.513626,999.630310,388.626709,295.043488,1003.820679,263.506073,47.194695,717.280396,311.687439,105.017212,442.707947,317.425995,78.933029,295.435028,320.330109,87.626534,77.344147,377.445648,125.925392,32.321194,164.615433,103.918419,38.766529,263.076874,460.366211,663.350098,296.917206,424.205994,457.048615,324.979034,439.200989,318.086456,337.774384,431.228882,71.666397,380.627899,389.260254,31.014557,169.311783,439.486237,36.388954
216,0,196.675674,186.602280,1573.209229,213.513718,321.107727,1552.111694,369.304260,184.243103,1490.425293,377.837036,275.081696,1486.673950,362.623596,236.237152,1366.147339,393.580261,229.184738,1152.331299,210.480667,230.710175,1323.183960,104.690025,232.711166,1165.298584,391.837189,310.318726,1288.394531,255.789902,66.683281,1354.487549,269.873260,-6.789599,1208.573975,264.454376,-11.049109,1038.944092,148.826508,5.832861,914.961365,129.602280,41.284489,839.616211,142.507431,-19.188585,829.393005,85.009453,22.589355,759.552307,269.316589,394.869110,1344.886475,304.768524,478.278748,1120.325317,282.981537,492.638458,1046.650757,172.857941,481.861420,932.856445,144.309189,462.898315,842.741516,161.848389,526.952271,839.354675,97.157997,487.255768,753.692871,164.139999,131.712738,918.786377,168.080917,374.112366,911.540466,384.730774,176.346939,999.662537,388.489563,295.053192,1003.826172,263.380463,47.182480,717.253418,311.786469,104.975571,442.757172,317.595642,79.043816,295.536377,320.789490,87.912102,77.852028,377.445465,125.917404,32.317188,164.526306,103.999336,38.822830,263.050720,460.324707,663.333862,296.820190,424.263031,457.119720,324.959930,439.285675,318.137939,337.747894,431.237518,71.700409,380.641937,389.272827,30.987324,169.626663,439.941132,36.722279
217,0,196.438538,186.572159,1573.222290,213.241302,321.158783,1552.129395,369.068634,184.286118,1490.467773,377.607330,275.086304,1486.652466,362.361633,236.292465,1366.216187,393.425690,229.200134,1152.447632,210.273163,230.783905,1323.188721,104.481888,232.823242,1165.316284,391.639862,310.252747,1288.469727,255.527618,66.886528,1354.586060,269.663940,-7.573248,1209.055908,264.061707,-10.607622,1038.928589,148.776627,5.666070,914.970642,129.725571,41.152737,839.643494,142.824783,-19.296127,829.378967,85.108162,22.259756,759.457458,269.134766,394.953430,1344.835205,304.904724,478.269653,1120.328613,283.200256,492.555511,1046.592407,173.461273,481.971039,932.521851,144.769485,462.362549,841.940613,162.861572,526.987915,838.891541,98.411484,487.492004,753.099731,163.992142,131.738235,918.845215,167.974243,374.323212,911.499207,384.650299,176.454086,999.695618,388.371521,295.057220,1003.828308,263.427368,47.085499,717.349792,311.402893,105.300789,442.950684,317.514954,78.842003,295.492096,320.323242,87.646194,77.379021,377.465363,125.922157,32.329365,164.539230,103.968773,38.724804,263.030884,460.341949,663.346558,296.677826,423.997711,457.290680,324.880615,439.244476,318.150146,337.747742,431.192993,71.694321,380.648224,389.262878,31.017227,169.300797,439.480347,36.395027
