Devices
1000
,,FP1 - Force,,,FP1 - Moment,,,FP1 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,-0.51152,-2.04916,-711.27,7810.23,47453.6,-141.264,298.717,243.019,0
1,1,-0.510792,-1.9053,-711.182,7816.36,47481.1,-140.682,298.764,243.009,0
1,2,-0.511868,-2.00479,-711.819,7863.43,47437,-141.157,298.642,242.953,0
1,3,-0.511804,-2.03607,-711.402,7889.58,47351.3,-141.18,298.561,242.91,0
1,4,-0.510425,-2.06921,-710.441,7780.68,47352.4,-141.274,298.652,243.048,0
1,5,-0.500998,-0.241066,-711.804,8006.74,47392.9,-134.576,298.581,242.752,0
1,6,-0.513724,-2.13499,-710.942,7950.91,47391.3,-141.22,298.66,242.816,0
1,7,-0.513971,-2.3784,-710.661,7879.73,47334.6,-142.232,298.606,242.912,0
1,8,-0.514022,-2.14542,-711.031,7982.98,47358.9,-141.243,298.606,242.773,0
1,9,-0.512903,-2.0664,-710.938,7995.09,47265.1,-141.006,298.483,242.754,0
2,0,-0.510714,-2.15824,-711.308,7786.16,47295.3,-141.886,298.491,243.054,0
2,1,-0.514431,-2.35422,-710.977,7978.23,47228.3,-142.122,298.427,242.779,0
2,2,-0.515713,-2.35372,-710.885,8048.4,47260.4,-141.899,298.481,242.678,0
2,3,-0.519411,-2.89493,-710.002,8053.49,47229.3,-143.601,298.52,242.657,0
2,4,-0.514778,-2.19775,-711.16,8091.97,47200.6,-141.383,298.371,242.621,0
2,5,-0.513579,-2.26068,-710.693,8097.39,46979.5,-141.696,298.104,242.606,0
2,6,-0.514781,-2.21898,-710.746,8095.53,47175.6,-141.36,298.375,242.61,0
2,7,-0.517834,-2.42638,-709.73,8217.19,47147.9,-141.562,298.431,242.422,0
2,8,-0.524517,-3.54779,-710.626,8119.33,47157.5,-146.033,298.361,242.574,0
2,9,-0.515949,-2.30543,-710.191,8161.52,47121.9,-141.416,298.351,242.508,0
3,0,-0.516747,-2.31607,-710.327,8212.42,47117.6,-141.381,298.332,242.439,0
3,1,-0.515918,-2.23931,-710.605,8187.73,47128.1,-141.231,298.321,242.478,0
3,2,-0.518974,-3.20445,-710.907,7983.62,47018.8,-145.345,298.139,242.77,0
3,3,-0.522075,-2.84606,-710.953,8358,47036.2,-143.201,298.159,242.244,0
3,4,-0.518706,-2.30081,-709.724,8403.74,47021.3,-140.818,298.253,242.159,0
3,5,-0.516166,-2.43335,-710.45,8280.53,46805.5,-142.007,297.881,242.345,0
3,6,-0.517468,-2.49177,-710.228,8227.87,47019.4,-142.048,298.203,242.415,0
3,7,-0.514173,-1.73638,-709.051,8338.82,47083.5,-138.696,298.404,242.24,0
3,8,-0.517928,-2.49087,-710.089,8269.78,47000,-141.929,298.189,242.354,0
3,9,-0.514289,-2.05942,-710.967,8259.66,46947.2,-140.718,298.033,242.383,0
4,0,-0.517483,-2.33582,-710.595,8318.3,46992.5,-141.416,298.131,242.294,0
4,1,-0.518701,-2.45665,-710.362,8355.08,46968.2,-141.723,298.119,242.238,0
4,2,-0.51827,-2.49152,-710.411,8279.28,47024.6,-141.975,298.194,242.346,0
4,3,-0.517302,-2.36865,-710.639,8312.05,46950.7,-141.604,298.068,242.303,0
4,4,-0.518174,-2.30977,-709.216,8416.73,46921.2,-140.781,298.159,242.132,0
4,5,-0.516292,-2.15645,-710.822,8390.48,46867.1,-140.807,297.934,242.196,0
4,6,-0.516193,-2.00134,-711.1,8448.44,46886.5,-140.179,297.935,242.119,0
4,7,-0.525397,-3.53044,-710.612,8342.45,46862.9,-145.766,297.947,242.26,0
4,8,-0.518519,-2.401,-711.322,8408.52,46892.6,-141.754,297.923,242.179,0
4,9,-0.517524,-2.2318,-710.085,8457,46831.3,-140.752,297.952,242.09,0
5,0,-0.520338,-2.38603,-710.126,8562.67,46849.9,-141.052,297.974,241.942,0
