Trajectories
100
,,Group 3 S:LFHD,,,Group 3 S:RFHD,,,Group 3 S:LBHD,,,Group 3 S:RBHD,,,Group 3 S:C7,,,Group 3 S:T10,,,Group 3 S:CLAV,,,Group 3 S:STRN,,,Group 3 S:RBAK,,,Group 3 S:LSHO,,,Group 3 S:LUPA,,,Group 3 S:LELB,,,Group 3 S:LFRM,,,Group 3 S:LWRA,,,Group 3 S:LWRB,,,Group 3 S:LFIN,,,Group 3 S:RSHO,,,Group 3 S:RUPA,,,Group 3 S:RELB,,,Group 3 S:RFRM,,,Group 3 S:RWRA,,,Group 3 S:RWRB,,,Group 3 S:RFIN,,,Group 3 S:LASI,,,Group 3 S:RASI,,,Group 3 S:LPSI,,,Group 3 S:RPSI,,,Group 3 S:LTHI,,,Group 3 S:LKNE,,,Group 3 S:LTIB,,,Group 3 S:LANK,,,Group 3 S:LHEE,,,Group 3 S:LTOE,,,Group 3 S:RTHI,,,Group 3 S:RKNE,,,Group 3 S:RTIB,,,Group 3 S:RANK,,,Group 3 S:RHEE,,,Group 3 S:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,198.746735,184.719727,1569.287354,215.511414,320.093506,1556.115479,372.163574,186.998657,1487.727295,380.641388,277.630951,1489.026855,366.253937,238.395325,1371.958496,401.791565,227.138901,1154.712524,215.087189,236.126266,1321.142456,112.717949,236.706726,1159.520386,396.656525,311.072937,1288.347168,250.479584,69.192986,1353.870483,266.330353,-5.616232,1206.753418,266.411285,-9.715356,1039.192261,168.790314,9.901675,900.954102,165.684677,42.319199,819.776550,171.211761,-20.068092,816.510742,140.420547,27.750071,728.060547,273.828125,402.590881,1337.983398,322.900116,478.523224,1112.279785,307.755219,491.941925,1037.405884,209.690491,489.991730,913.627808,188.003128,472.682709,822.595154,213.897217,533.664978,818.715393,155.937714,496.828979,727.190430,177.681488,132.527924,921.067871,183.888916,374.821625,913.955017,396.843353,174.347580,1001.420349,402.028717,292.243347,1006.046387,274.311035,44.491810,721.296753,318.454193,100.272522,443.849548,320.221313,71.510536,295.762909,,,,372.846527,112.727524,30.161959,160.329285,101.268471,40.550125,281.160248,460.736969,665.294067,307.903748,424.895416,457.962524,333.330139,440.789459,319.456055,340.896027,433.662354,71.358650,383.564148,391.355286,29.806757,172.581146,440.694275,37.371796
2,0,198.474930,184.803421,1569.189575,215.251007,320.002625,1556.208008,371.053955,187.277008,1487.422729,380.396881,277.690063,1488.900146,366.042236,238.335861,1371.974609,401.634216,227.003616,1154.737183,214.931396,236.048950,1321.227295,112.569298,237.014832,1159.588501,396.585144,310.974091,1288.393066,250.258926,68.868935,1354.485840,265.752930,-5.616417,1206.901978,265.806854,-9.833846,1039.299561,168.536392,9.910842,900.947693,165.729248,42.107086,819.759094,170.947403,-20.341730,816.562317,140.601776,27.347227,728.069031,273.866882,402.657562,1337.964600,322.997131,478.444946,1112.267578,307.894135,491.822723,1037.370483,210.008652,490.029419,913.502258,188.378113,472.629120,822.406677,214.379120,533.848145,818.484314,156.454712,496.928375,727.085083,177.330719,132.370728,921.285889,183.813644,374.786072,913.850464,396.682159,174.197037,1001.404297,401.970093,292.136749,1006.023621,274.094513,44.360516,721.419006,318.366180,100.246300,443.845245,320.070953,71.374504,295.765533,,,,372.837067,112.711090,30.155411,160.434647,101.375046,40.670761,281.091492,460.765961,665.056763,307.893707,424.907043,458.007996,333.324097,440.723145,319.473297,340.899963,433.647583,71.335892,383.567535,391.328308,29.783405,172.567047,440.757111,37.339405
3,0,198.298126,184.695831,1569.187012,215.114273,319.998138,1556.337280,371.672668,187.015717,1487.293457,380.131195,277.656555,1488.778809,366.156891,238.297653,1372.282715,401.436707,226.872040,1154.792358,214.716644,236.226196,1321.295166,112.525993,237.210159,1159.614624,396.500824,310.869934,1288.454712,249.918854,68.942528,1354.600830,265.230164,-5.591547,1206.936035,265.257080,-9.927279,1039.292114,168.233719,9.910836,900.992310,165.772156,41.994503,819.682251,170.681030,-20.524157,816.618652,140.683838,27.089176,728.031799,273.799683,402.803223,1338.233887,323.100128,478.294769,1112.204590,308.096710,491.711182,1037.316040,210.306168,489.970703,913.299805,188.813141,472.614136,822.180054,214.653336,534.071594,818.354431,156.969055,497.000854,726.817139,177.170593,132.423981,921.184631,183.708557,374.837738,913.901245,396.480194,174.098831,1001.326416,401.923126,291.985168,1005.946899,273.789520,44.370712,721.418274,318.261322,100.224922,443.861053,320.064667,71.475143,295.774170,317.363159,75.735191,77.460518,372.822754,112.722809,30.169554,160.329453,101.270691,40.517162,281.106476,460.748657,664.832397,307.967499,424.872345,458.066315,333.176056,440.893402,319.714935,340.932678,433.578369,71.286957,383.565277,391.338623,29.777328,172.565781,440.686035,37.330627
4,0,198.258469,184.719223,1569.196411,214.936050,319.996063,1556.362061,371.421661,187.021652,1487.117798,379.912018,277.684998,1488.652344,365.569427,238.208511,1372.135376,401.296936,226.690338,1154.827026,214.522018,236.268555,1321.298462,112.268097,237.307037,1159.753662,396.377045,310.746796,1288.451294,249.540543,68.932487,1354.959473,264.704071,-5.612554,1207.060059,264.750732,-10.598235,1039.968750,167.941498,9.860559,900.982849,165.651245,41.776051,819.685181,170.016876,-20.678894,816.723511,140.706818,26.846357,728.034302,273.820160,402.785675,1337.954102,323.324493,478.200378,1112.203979,308.354553,491.630829,1037.340942,210.843124,490.072174,913.263672,189.188873,472.675262,822.044617,215.139847,534.002258,818.307129,157.568069,497.081512,726.639832,176.927048,132.534576,921.227905,183.751465,374.693359,914.118286,396.277740,173.944931,1001.280334,401.879944,291.824249,1005.929443,273.526245,44.322403,721.451294,318.153259,100.252625,443.860107,319.984253,71.479164,295.832733,317.400024,75.739616,77.481178,372.835541,112.726761,30.193438,160.359375,101.332512,40.475712,281.098267,460.701324,665.377808,307.954895,424.797272,458.111694,333.376923,440.553772,319.474701,340.937744,433.640137,71.303230,383.557709,391.342957,29.788250,172.571732,440.689545,37.301540
5,0,198.021255,184.751633,1569.120728,214.848480,320.056519,1556.445923,371.173920,187.089600,1486.916870,379.705994,277.720245,1488.524170,365.704346,238.179260,1372.374634,401.131409,226.596527,1154.833496,214.327164,236.252777,1321.215088,112.151688,237.434586,1159.522461,396.271027,310.712036,1288.495361,249.122620,69.068199,1354.863525,264.116608,-5.626033,1207.143799,264.189087,-10.799443,1040.136597,167.554977,9.847187,901.003662,165.355591,40.764133,819.438843,169.682465,-20.839006,816.784790,140.604294,26.650412,727.946350,273.766144,402.841675,1337.957520,323.527557,478.076965,1112.180542,308.711761,491.165894,1037.371338,211.060974,490.140503,913.101807,189.599365,472.648193,821.843506,216.018692,534.168823,818.238403,158.122360,497.098511,726.401733,176.597534,132.419037,921.210815,183.636078,374.672394,914.089539,396.061584,173.801758,1001.193970,401.794464,291.677856,1005.874390,273.246643,44.246063,721.479614,318.049194,100.282196,443.844238,319.926025,71.419273,295.818604,317.413727,75.730164,77.469086,372.825104,112.716858,30.184553,160.300858,101.239037,40.192108,281.012146,460.712463,664.887268,307.941589,424.782440,458.056244,333.243896,440.863495,319.846283,340.967102,433.583496,71.274666,383.556580,391.361450,29.768137,172.536484,440.688599,37.289028
6,0,197.972275,184.583923,1569.122559,214.712997,320.044769,1556.498657,370.934174,187.104919,1486.746948,379.480133,277.721588,1488.439331,365.541931,238.144989,1372.465576,400.929688,226.387787,1154.868530,214.074768,236.315826,1321.204102,111.938614,237.693954,1159.533936,396.122284,310.642395,1288.577759,248.586838,69.079514,1354.782959,263.523132,-5.596698,1207.267334,263.678223,-10.986547,1040.299316,167.215759,9.781045,901.055786,165.093521,41.280441,819.657959,169.261871,-20.695448,816.941833,140.473282,26.481085,727.831726,273.584686,403.262512,1338.230713,323.764221,478.000793,1112.180786,308.994232,491.092896,1037.348755,211.473190,490.241364,913.014099,190.126129,472.822968,821.920471,216.831375,533.948914,818.076111,158.677322,497.188354,726.220215,176.403992,132.499344,921.160034,183.461685,374.959229,913.984070,395.821655,173.746841,1001.167786,401.726379,291.505219,1005.875488,272.925690,44.291451,721.356140,317.980286,100.288895,443.866516,319.912445,71.539307,295.820068,317.055908,76.464233,76.966606,372.828369,112.725861,30.205971,160.357941,101.331375,40.461922,280.967529,460.682953,664.895935,307.822601,424.657806,457.946564,333.206055,440.780884,319.841888,340.974396,433.593262,71.316261,383.564697,391.373138,29.804646,172.531479,440.696075,37.271114
7,0,197.846466,184.562180,1569.053711,214.588013,320.031708,1556.519165,370.710388,187.131271,1486.590454,379.303284,277.789124,1488.359985,365.228668,238.095108,1372.439941,400.773926,226.291748,1154.906494,213.842010,236.388214,1321.237671,111.714088,237.798782,1159.533325,395.998596,310.631989,1288.597778,248.130417,69.180061,1354.761719,262.878113,-5.415040,1207.423706,263.139679,-11.148240,1040.477295,166.760818,9.670460,901.078552,164.813751,41.239193,819.938782,168.897720,-20.875723,817.029724,140.040482,26.257200,727.745850,273.567810,403.024902,1337.987061,324.010437,477.886719,1112.146484,309.203156,491.291565,1037.219360,211.801239,490.229004,912.865601,190.562958,472.994476,821.641113,217.126907,533.768982,817.838440,159.201294,497.279999,725.991577,176.153336,132.540390,920.954529,183.310333,374.931915,913.927246,395.565826,173.497879,1001.098877,401.644287,291.383148,1005.838013,272.712372,44.133602,721.401245,317.874298,100.285873,443.848297,319.741119,71.406059,295.877777,317.216156,76.067497,77.166206,372.829498,112.695717,30.185482,160.280807,101.242134,40.105095,280.900665,460.664520,664.884827,307.877808,424.625580,458.078552,333.221954,440.758026,319.882294,340.980072,433.592712,71.315666,383.567078,391.375549,29.806442,172.516495,440.682770,37.322815
8,0,197.617844,184.619034,1568.996216,214.519302,320.050507,1556.592773,370.398224,187.013672,1486.402832,379.079529,277.762726,1488.249390,365.061218,238.068344,1372.482300,400.592224,226.054474,1154.919922,213.527924,236.398331,1321.125122,111.495277,238.161591,1159.237427,395.875580,310.563965,1288.664917,247.693604,69.287094,1354.871094,262.271851,-5.425286,1207.532593,262.546967,-10.752395,1039.990479,166.327881,9.560818,901.158508,164.693222,40.954105,819.998779,168.501556,-21.038033,817.102661,140.109955,26.186447,727.903564,273.379700,403.243408,1338.252197,324.250214,477.827606,1112.140259,309.456970,491.224182,1037.162354,212.301651,490.299316,912.735413,190.962463,473.347260,821.457764,217.694351,533.807068,817.685486,159.787231,497.346252,725.864075,175.842850,132.519028,920.965820,183.242462,374.852478,913.976685,395.328430,173.325607,1001.057617,401.574646,291.225525,1005.858093,272.444733,44.031448,721.340759,317.805878,100.298134,443.910004,319.694855,71.527824,295.878662,317.367767,75.707520,77.382950,372.821960,112.702316,30.182150,160.277115,101.489708,40.338863,280.811584,460.640198,664.847534,307.779419,424.427338,457.985657,333.283325,441.218628,320.138428,340.994720,433.537262,71.294891,383.579865,391.377167,29.787170,172.514709,440.659698,37.247860
9,0,197.580505,184.403717,1568.968262,214.336563,319.992310,1556.602905,370.181763,186.997437,1486.303101,378.912384,277.819092,1488.204712,364.915588,238.029541,1372.552612,400.444275,225.887970,1154.933594,213.262054,236.465988,1321.081543,111.304153,238.237137,1158.925903,395.718140,310.531036,1288.715332,247.205185,69.404449,1355.023071,261.712494,-5.467916,1207.721558,262.101349,-11.463134,1040.774048,165.888351,9.440878,901.250061,164.600555,40.729691,819.891968,168.021896,-21.284628,817.226196,139.530502,25.964697,727.844238,273.320740,403.174927,1337.990112,324.477814,477.780029,1112.122192,309.748932,491.245758,1037.176147,212.660980,490.272125,912.649048,191.399246,473.273071,821.266174,218.208313,533.832886,817.598816,160.319382,497.362549,725.608765,175.620270,132.676483,920.821411,183.023636,375.019043,913.744812,395.077728,173.242920,1001.103394,401.470734,291.146606,1005.872375,272.121063,44.248100,721.210693,317.634705,100.321815,443.809662,319.338531,71.848747,295.744141,317.388367,75.810066,77.343575,372.806000,112.710098,30.194094,160.368164,101.420784,40.314236,280.741699,460.571472,664.877441,307.673859,424.408508,457.981110,333.163605,440.746979,319.943420,341.000580,433.551788,71.318161,383.584534,391.366516,29.785486,172.531143,440.683472,37.309826
