Trajectories
100
,,Group 3 S:LFHD,,,Group 3 S:RFHD,,,Group 3 S:LBHD,,,Group 3 S:RBHD,,,Group 3 S:C7,,,Group 3 S:T10,,,Group 3 S:CLAV,,,Group 3 S:STRN,,,Group 3 S:RBAK,,,Group 3 S:LSHO,,,Group 3 S:LUPA,,,Group 3 S:LELB,,,Group 3 S:LFRM,,,Group 3 S:LWRA,,,Group 3 S:LWRB,,,Group 3 S:LFIN,,,Group 3 S:RSHO,,,Group 3 S:RUPA,,,Group 3 S:RELB,,,Group 3 S:RFRM,,,Group 3 S:RWRA,,,Group 3 S:RWRB,,,Group 3 S:RFIN,,,Group 3 S:LASI,,,Group 3 S:RASI,,,Group 3 S:LPSI,,,Group 3 S:RPSI,,,Group 3 S:LTHI,,,Group 3 S:LKNE,,,Group 3 S:LTIB,,,Group 3 S:LANK,,,Group 3 S:LHEE,,,Group 3 S:LTOE,,,Group 3 S:RTHI,,,Group 3 S:RKNE,,,Group 3 S:RTIB,,,Group 3 S:RANK,,,Group 3 S:RHEE,,,Group 3 S:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
126,0,171.400650,200.721222,1571.068481,185.570602,335.164795,1549.867554,340.174530,200.912109,1479.920776,347.450012,291.850800,1476.458252,333.767242,249.223221,1366.414063,367.107635,247.041000,1147.245483,185.011185,246.976547,1313.527588,79.089836,250.881409,1153.555542,361.447449,325.278107,1283.007813,221.830383,81.164711,1338.888550,236.668854,15.044238,1187.230469,232.570679,14.691830,1021.067383,131.843414,31.962824,885.602112,124.634987,66.292732,806.491638,134.950455,3.944921,800.496704,96.049065,49.308182,715.565735,237.874939,414.225250,1337.111328,271.757172,492.579529,1106.834717,249.501862,503.036194,1032.590820,151.393448,489.235291,909.216431,133.436554,468.379974,816.053223,151.002167,532.470581,813.952637,99.794518,492.937988,719.627014,133.348801,149.738358,918.853271,139.222519,395.532562,916.698120,355.010406,192.211304,996.350708,359.941742,308.979431,1003.065613,231.727707,63.367382,718.238953,303.504913,112.313980,444.953369,306.884735,82.607674,296.457916,297.850311,85.007919,78.480057,352.457703,121.681274,31.539351,139.681412,96.693314,39.014767,241.164047,477.846497,666.264221,278.804932,444.468994,460.139801,305.509399,458.651031,319.721436,309.440857,447.759308,70.531097,354.000671,408.165802,28.906055,142.587662,447.754059,39.207325
127,0,171.356491,200.760254,1571.089722,185.519424,335.237946,1549.872803,340.174194,201.021561,1479.986328,347.425232,291.916840,1476.475098,334.021332,249.349213,1366.635010,367.091095,247.058426,1147.234497,184.968246,246.985031,1313.458130,79.238152,250.931534,1153.492920,361.393341,325.339569,1283.038452,221.841614,81.220352,1338.915405,236.612000,15.273452,1187.109863,232.704575,14.758286,1021.063904,131.907501,31.956110,885.632751,124.810440,66.333237,806.535095,135.027725,3.977399,800.501526,96.128464,49.260246,715.524109,237.814697,414.213745,1337.133667,271.782074,492.682892,1106.808472,249.510635,503.061646,1032.571289,151.331467,489.434265,909.285278,133.584503,468.648315,815.965820,151.132858,532.866089,813.937439,99.659431,493.282776,719.604492,133.316559,149.720749,918.891663,139.287628,395.461395,916.696777,355.014008,192.311218,996.356201,359.918427,309.025452,1003.071533,231.648773,63.444347,718.189392,303.522461,112.297913,444.966766,306.830688,82.601990,296.458069,297.772034,84.834137,78.316612,352.477600,121.701401,31.526596,139.686584,96.747154,38.989944,241.150970,477.904907,666.291992,278.729889,444.456177,460.137878,305.529358,458.597504,319.717072,309.463013,447.775970,70.523712,354.002899,408.141235,28.910646,142.635834,447.748230,39.297821
128,0,171.360794,200.841202,1571.104492,185.339417,335.280945,1549.883545,340.212311,201.095901,1479.974731,347.398590,292.066132,1476.535767,333.757324,249.326431,1366.413086,367.086365,247.164154,1147.257324,184.996841,246.996979,1313.526367,79.291862,251.089279,1153.426147,361.376007,325.440582,1283.026489,221.898590,81.333702,1338.966431,242.705933,15.344477,1187.462769,232.726578,14.846380,1021.074036,131.948166,31.958233,885.613953,124.942299,66.390755,806.478638,135.140930,4.039652,800.492554,96.213692,49.402374,715.513000,237.846970,414.443390,1337.011597,271.732269,492.721039,1106.809204,249.500504,503.165955,1032.572754,151.324921,489.559906,909.335449,133.628998,469.016266,816.073364,151.114990,532.929565,813.905212,99.896912,492.858643,719.545715,133.271194,149.784653,918.870605,139.225739,395.559113,916.687317,354.999451,192.365036,996.414246,359.926422,309.070709,1003.114197,231.684097,63.452705,718.240173,303.664337,111.789391,444.758026,307.031494,82.511597,296.575470,297.835510,84.980209,78.475433,352.445648,121.694984,31.537510,139.682297,96.724060,39.012638,241.111801,477.932587,666.308105,278.781738,444.723267,459.981964,305.542480,458.593384,319.720215,309.462463,447.818542,70.537369,354.015411,408.128601,28.906279,142.614426,447.748657,39.254417
129,0,171.399078,200.709137,1571.113037,185.352890,335.330750,1549.870361,340.165039,201.177307,1480.013306,347.331787,292.105896,1476.546509,334.026398,249.525787,1366.648682,367.025940,247.190292,1147.256836,184.958923,247.003113,1313.489624,79.027748,251.006363,1153.565063,361.354706,325.544281,1283.030029,221.892410,81.322662,1338.906006,236.832092,15.146707,1187.199463,232.750549,14.897024,1021.142273,132.023392,31.955931,885.626465,124.977516,66.342178,806.527405,135.253525,4.029158,800.514526,96.220932,49.375668,715.448792,237.789017,414.349060,1337.005249,271.711731,492.775818,1106.817505,249.466553,503.168060,1032.549805,151.525604,489.541138,909.287231,133.226044,468.515717,815.972595,151.007019,532.915283,813.917419,99.798676,492.881927,719.421936,133.291733,149.734024,918.824463,139.149002,395.624023,916.694458,355.021179,192.300842,996.364868,359.890625,309.127411,1003.122070,231.651932,63.521908,718.143616,303.566345,112.213928,444.987000,306.875610,82.667389,296.424286,297.831390,85.033554,78.461510,352.439270,121.696228,31.514320,139.695892,96.658157,38.958313,241.080002,477.946838,666.274292,278.744720,444.548767,460.068451,305.487793,458.655487,319.695770,309.446533,447.797119,70.540977,354.022308,408.154022,28.912058,142.623322,447.791748,39.306999
130,0,171.360809,200.891953,1571.159302,185.308807,335.367126,1549.885864,340.008026,201.408783,1479.956787,347.304810,292.215057,1476.539917,334.031708,249.562744,1366.676758,367.024933,247.217026,1147.229492,184.940338,247.028915,1313.560791,79.142433,251.026779,1153.572998,361.329224,325.505493,1282.973389,221.967133,81.569710,1339.082397,236.984009,15.224346,1187.265381,232.820633,14.926085,1021.142700,132.127930,32.015148,885.644287,124.837204,66.282974,806.455933,135.309830,4.079385,800.521240,96.310913,49.545319,715.535034,237.777756,414.608826,1337.014282,271.705017,492.849335,1106.824219,249.452271,503.242981,1032.564941,151.508057,489.558289,909.236633,133.363235,468.717285,816.151733,151.090851,533.028015,813.948669,99.756981,492.906555,719.523743,133.263214,149.802780,918.798889,139.146545,395.623901,916.681519,355.004608,192.464539,996.380676,359.868134,309.148254,1003.128784,231.658020,63.480438,718.235840,303.599701,112.217957,445.031067,306.841644,82.636009,296.437561,297.807953,84.970108,78.456421,352.442780,121.686646,31.530998,139.697098,96.711372,38.989738,241.067780,477.972717,666.263000,278.750580,444.655426,460.148376,305.562500,458.643188,319.748108,309.467651,447.781860,70.571198,353.996002,408.143707,28.897429,142.636688,447.772339,39.298523
131,0,171.417450,200.895676,1571.135620,185.263748,335.428375,1549.875000,340.009338,201.437485,1479.968994,347.290833,292.352020,1476.575562,333.789734,249.604904,1366.456055,367.000519,247.293808,1147.259521,184.904068,247.039536,1313.568848,79.282921,251.195038,1153.514648,361.305725,325.585907,1283.024414,221.958984,81.569092,1339.169556,242.750427,15.644595,1187.643311,232.865585,15.004987,1021.091370,132.165085,32.026299,885.643921,125.070976,66.306023,806.508728,135.380295,4.094121,800.466553,96.337349,49.549648,715.519470,237.698318,414.227692,1336.934082,271.697327,492.915314,1106.855713,249.419540,503.332306,1032.563110,151.359909,489.499298,909.226807,133.203339,468.622101,816.005859,151.155029,533.130981,813.903687,99.769348,493.171448,719.593872,133.297760,149.836044,918.687744,139.286926,395.552612,916.797058,355.010223,192.489059,996.390625,359.868530,309.216522,1003.143311,231.682434,63.541992,718.166199,303.480469,112.245056,444.932617,306.769745,82.617668,296.402161,297.791595,85.016502,78.434937,352.447784,121.712296,31.543076,139.700974,96.691589,39.020206,241.037430,477.942444,666.224548,278.711090,444.640564,460.063843,305.547943,458.711334,319.758148,309.438049,447.773529,70.548378,354.010559,408.149414,28.916836,142.616058,447.770050,39.273598
132,0,171.232468,201.199509,1571.050171,185.206757,335.510284,1549.864502,340.067169,201.555878,1479.921997,347.289246,292.462219,1476.569824,333.761627,249.652771,1366.447632,366.966125,247.371704,1147.295044,184.887604,247.044403,1313.489258,79.170296,251.160858,1153.614014,361.282959,325.607178,1283.016846,221.950729,81.534355,1339.059937,237.072723,15.143806,1187.355957,232.938431,14.940675,1021.205566,132.156006,32.054871,885.660278,125.159843,66.303368,806.582336,135.400909,4.178405,800.519287,96.348335,49.578182,715.552063,237.668640,414.260223,1336.905640,271.678986,493.017151,1106.836182,249.417999,503.435669,1032.564819,151.407166,489.683136,909.220947,133.173309,468.699432,815.912781,151.104889,533.226563,813.946106,99.609871,493.171478,719.467468,133.277878,149.788330,918.682312,139.213257,395.634888,916.725891,355.005554,192.557007,996.392578,359.870575,309.269562,1003.140686,231.686722,63.567429,718.135559,303.717865,111.784248,444.850983,306.817352,82.622406,296.407196,297.714874,84.952515,78.362610,352.471466,121.717613,31.557217,139.710526,96.737961,38.957260,241.011017,477.962311,666.268616,278.747192,444.581055,460.015839,305.293945,458.433868,319.651489,309.414154,447.771820,70.517281,354.013977,408.148956,28.925461,142.622955,447.743073,39.228947
133,0,171.449615,201.158813,1571.097412,185.149338,335.567169,1549.881592,340.036957,201.582031,1479.953125,347.243469,292.540070,1476.551636,333.772858,249.685654,1366.457520,366.964783,247.404816,1147.236572,184.858765,247.086929,1313.552368,79.100960,251.115982,1153.576660,361.228027,325.705811,1282.998901,221.975586,81.551140,1338.961182,242.852722,15.719975,1187.580688,232.956863,15.003036,1021.178223,132.217896,32.095833,885.670410,125.202522,66.336060,806.564575,135.449829,4.176866,800.503235,96.548927,49.702682,715.583496,237.635300,414.296478,1336.892334,271.643768,493.104218,1106.823120,249.337860,503.422028,1032.542358,151.349472,489.686127,909.198669,133.149445,468.739349,815.963928,151.050888,533.143677,813.954590,99.686249,493.412628,719.543457,133.314987,149.872604,918.749878,139.238739,395.591522,916.713074,354.995026,192.564011,996.401794,359.849701,309.335175,1003.149719,231.664505,63.672474,718.172485,303.533081,112.191780,444.963074,306.800934,82.644882,296.404938,297.822968,85.021545,78.484612,352.459564,121.739784,31.565722,139.658798,96.670593,39.040859,240.987732,477.998444,666.255188,278.724731,444.563690,460.093658,305.376648,458.627747,319.629028,309.462585,447.809204,70.551208,354.001038,408.134521,28.918308,142.612335,447.775238,39.288483
134,0,171.547363,201.137283,1571.174805,185.130142,335.555206,1549.891113,340.116699,201.683914,1480.038086,347.222260,292.643494,1476.527466,333.759247,249.777542,1366.432373,366.918762,247.416122,1147.281616,184.837769,247.094711,1313.585449,78.920219,251.144943,1153.654907,361.233917,325.791534,1283.002319,222.000778,81.617424,1339.010010,237.059601,15.574392,1187.355347,233.017944,14.980125,1021.195435,132.303940,32.118134,885.653748,125.112297,66.282257,806.564331,135.597260,4.197082,800.509094,96.545662,49.612976,715.543152,237.657425,414.722198,1336.950928,271.584778,493.181976,1106.836792,249.296951,503.524658,1032.538940,151.339417,489.808075,909.184021,133.098099,468.763733,815.935913,150.916916,533.323669,814.001465,99.585938,493.477905,719.410645,133.241364,149.805374,918.743958,139.274353,395.688812,916.732056,354.990662,192.642319,996.383179,359.792419,309.369904,1003.138306,231.686508,63.566589,718.280762,303.661713,111.814133,444.852448,306.709686,82.678741,296.391998,297.788300,84.991386,78.472267,352.446625,121.731094,31.550873,139.715057,96.755386,39.019203,240.965378,478.016083,666.289429,278.673676,444.545013,460.014252,305.353546,458.641510,319.631653,309.449951,447.786133,70.543129,354.002472,408.117310,28.905273,142.594009,447.768402,39.259396
