Devices
1000
,,FP1 - Force,,,FP1 - Moment,,,FP1 - CoP,,,Combined Force,,,Combined Moment,,,Combined CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
247,0,-0.247047,-2.04191,-711.636,9162.46,10934.6,-176.776,247.365,241.125,0,-0.247047,-2.04191,-711.636,-171611,177491,-591.924,247.365,241.125,0
247,1,-0.243933,-2.08197,-711.807,9130.79,10557.6,-177.438,246.832,241.172,0,-0.243933,-2.08197,-711.807,-171688,177154,-602.751,246.832,241.172,0
247,2,-0.246963,-2.19671,-711.586,9113.67,10874.1,-177.49,247.281,241.192,0,-0.246963,-2.19671,-711.586,-171654,177419,-628.887,247.281,241.192,0
247,3,-0.245204,-2.05336,-711.91,9072.95,10856.7,-177.182,247.25,241.256,0,-0.245204,-2.05336,-711.91,-171771,177477,-595.477,247.25,241.256,0
247,4,-0.233905,-0.479719,-711.987,9087.1,10827.6,-171.586,247.208,241.237,0,-0.233905,-0.479719,-711.987,-171707,177466,-224.467,247.208,241.237,0
247,5,-0.244785,-2.37695,-711.954,8882.19,10867.1,-178.776,247.264,241.524,0,-0.244785,-2.37695,-711.954,-171987,177498,-672.909,247.264,241.524,0
247,6,-0.246515,-2.21883,-711.905,9098.54,10824.1,-177.747,247.204,241.219,0,-0.246515,-2.21883,-711.905,-171751,177444,-634.435,247.204,241.219,0
247,7,-0.242444,-1.88685,-711.181,8981.61,10830.6,-176.618,247.229,241.371,0,-0.242444,-1.88685,-711.181,-171670,177280,-556.646,247.229,241.371,0
247,8,-0.245408,-2.23043,-711.769,9023.31,10814.5,-177.932,247.194,241.323,0,-0.245408,-2.23043,-711.769,-171792,177402,-637.617,247.194,241.323,0
247,9,-0.24337,-1.85387,-711.96,9057.82,10833.5,-176.544,247.216,241.278,0,-0.24337,-1.85387,-711.96,-171790,177466,-548.618,247.216,241.278,0
248,0,-0.244664,-2.16526,-711.682,8970.36,10879.5,-177.728,247.287,241.396,0,-0.244664,-2.16526,-711.682,-171820,177447,-622.349,247.287,241.396,0
248,1,-0.2633,-2.28365,-711.942,8968.51,13166.5,-175.815,250.494,241.403,0,-0.2633,-2.28365,-711.942,-171893,179795,-643.411,250.494,241.403,0
